cell_id,region,survey,has_obs,p_mean,p_q025,p_q975
Antioquia | 2005,Antioquia,2005,1,0.3273434543925004,0.27827973125,0.37820716725000003
Atlantico | 2005,Atlantico,2005,1,0.5216174855450003,0.452647542,0.592956674
Bogota | 2005,Bogota,2005,1,0.3205031997999994,0.27023958075,0.37627260975
Bolivar | 2005,Bolivar,2005,1,0.4482975510099997,0.37948852925000004,0.52121438525
Boyaca | 2005,Boyaca,2005,1,0.3423799776399999,0.26716386849999996,0.4241488505
Caldas | 2005,Caldas,2005,1,0.25872384807750043,0.1908963285,0.333872348
Caqueta | 2005,Caqueta,2005,1,0.38268958560750077,0.31737600150000006,0.45204548125
Cauca | 2005,Cauca,2005,1,0.370652727625,0.31065374349999997,0.4330809255
Cesar | 2005,Cesar,2005,1,0.44701056759000024,0.38562881475,0.51020938525
Cordoba | 2005,Cordoba,2005,1,0.4441885706825008,0.37659136725000003,0.51088468575
Cundinamarca | 2005,Cundinamarca,2005,1,0.37441079538750077,0.29765901275,0.4550798185
Choco | 2005,Choco,2005,1,0.5297928817199998,0.470925462,0.5892045945
Huila | 2005,Huila,2005,1,0.3571182191799992,0.29087982275,0.42985535100000005
La Guajira | 2005,La Guajira,2005,1,0.48584667934249987,0.4139148055,0.5576533315000001
Magdalena | 2005,Magdalena,2005,1,0.45737686880750117,0.381305549,0.533220805
Meta | 2005,Meta,2005,1,0.36382451115999886,0.296874994,0.43430218825000005
Narimo | 2005,Narimo,2005,1,0.3602384969649999,0.28902671325,0.43751480550000005
Norte de Santander | 2005,Norte de Santander,2005,1,0.3734713032075,0.30105516224999995,0.44971211525
Quindio | 2005,Quindio,2005,1,0.30820433192249974,0.24938823775,0.37170124800000004
Risaralda | 2005,Risaralda,2005,1,0.29078877464250064,0.23008132174999998,0.35661811475
Santander | 2005,Santander,2005,1,0.36747481009249916,0.2955355555,0.44319012025000004
Sucre | 2005,Sucre,2005,1,0.47298702863249936,0.405618381,0.543725669
Tolima | 2005,Tolima,2005,1,0.374050648977501,0.3044452385,0.4475972685000001
Valle | 2005,Valle,2005,1,0.33738129343500006,0.290282601,0.3892500275
Arauca | 2005,Arauca,2005,1,0.3971698540275004,0.311399584,0.4892498302500001
Casanare | 2005,Casanare,2005,1,0.38510485386000054,0.31883677325000004,0.45548953325
Putumayo | 2005,Putumayo,2005,1,0.3524749955950005,0.28460340625,0.42474862625
San Andres y Providencia | 2005,San Andres y Providencia,2005,1,0.44009161586750023,0.35731284025,0.5268640517500001
Amazonas | 2005,Amazonas,2005,1,0.5701381669099987,0.4875575635,0.65336698175
Guainia | 2005,Guainia,2005,1,0.46648178887499825,0.3821073665,0.5517849295
Guaviare | 2005,Guaviare,2005,1,0.3294043659424986,0.25752924275,0.406866209
Vaupes | 2005,Vaupes,2005,1,0.6054773109750011,0.5072193375,0.7003944885
Vichada | 2005,Vichada,2005,1,0.34996302919999983,0.27696775625000003,0.4262485805
Antioquia | 2010,Antioquia,2010,1,0.2882755970000004,0.244612671,0.33468425650000005
Atlantico | 2010,Atlantico,2010,1,0.47589921328249934,0.40771858125,0.544445624
Bogota | 2010,Bogota,2010,1,0.28189856454250006,0.2369860955,0.33134031324999996
Bolivar | 2010,Bolivar,2010,1,0.4035760814299995,0.3391223905,0.473945754
Boyaca | 2010,Boyaca,2010,1,0.30246568648000055,0.23435424275000002,0.37689789275
Caldas | 2010,Caldas,2010,1,0.22514173743250038,0.16575246075,0.29277826025
Caqueta | 2010,Caqueta,2010,1,0.3404934419125006,0.27695301325,0.40811645975000005
Cauca | 2010,Cauca,2010,1,0.3290390249599999,0.2712574045,0.39007104025000006
Cesar | 2010,Cesar,2010,1,0.4022819418750003,0.34229764275,0.46512143325000005
Cordoba | 2010,Cordoba,2010,1,0.39957670115250016,0.334229612,0.46537215750000005
Cundinamarca | 2010,Cundinamarca,2010,1,0.33265899736,0.26190945825,0.40953810125
Choco | 2010,Choco,2010,1,0.4840107436249995,0.42492369825,0.5419270155000001
Huila | 2010,Huila,2010,1,0.3162804570974995,0.25411970275,0.385778633
La Guajira | 2010,La Guajira,2010,1,0.4403797969724995,0.37014619725,0.511143856
Magdalena | 2010,Magdalena,2010,1,0.4124473554799994,0.3423023695,0.48774534625
Meta | 2010,Meta,2010,1,0.32259991491499973,0.25946434549999997,0.38862828250000003
Narimo | 2010,Narimo,2010,1,0.3192629937624991,0.25364016275,0.39154688225000006
Norte de Santander | 2010,Norte de Santander,2010,1,0.3317347854924995,0.264989968,0.40308265775
Quindio | 2010,Quindio,2010,1,0.27053027989749967,0.218626201,0.32886751475000003
Risaralda | 2010,Risaralda,2010,1,0.2545100155925004,0.198870411,0.316115193
Santander | 2010,Santander,2010,1,0.3260451858700001,0.26064810000000005,0.3981213585
Sucre | 2010,Sucre,2010,1,0.42770348089499943,0.36271395700000003,0.49911930275
Tolima | 2010,Tolima,2010,1,0.33230243343999966,0.26783628924999997,0.40218422449999996
Valle | 2010,Valle,2010,1,0.29762442658249905,0.2546921485,0.34413450824999997
Arauca | 2010,Arauca,2010,1,0.3543937363774992,0.27465627425,0.4439157735
Casanare | 2010,Casanare,2010,1,0.34272948427500044,0.28187014925,0.40872683600000004
Putumayo | 2010,Putumayo,2010,1,0.3118662118025001,0.25185457875,0.3789264555
San Andres y Providencia | 2010,San Andres y Providencia,2010,1,0.39569528880749866,0.3182621825,0.47888429625
Amazonas | 2010,Amazonas,2010,1,0.5249483544949999,0.443130578,0.60802980175
Guainia | 2010,Guainia,2010,1,0.4214336677475002,0.34166985299999997,0.5072479385
Guaviare | 2010,Guaviare,2010,1,0.2903295812600001,0.224416073,0.36213851350000004
Vaupes | 2010,Vaupes,2010,1,0.5612724899049982,0.46126068600000003,0.6612807294999999
Vichada | 2010,Vichada,2010,1,0.3096064348374995,0.24159162775,0.38207987025000006
Antioquia | 2015,Antioquia,2015,1,0.22205830467499987,0.18449513750000002,0.26267508225
Atlantico | 2015,Atlantico,2015,1,0.3903736566825012,0.32512029425,0.4592012485
Bogota | 2015,Bogota,2015,1,0.21676579893000011,0.1767244925,0.26152406425
Bolivar | 2015,Bolivar,2015,1,0.3230956110225008,0.26236381000000003,0.39049033925000004
Boyaca | 2015,Boyaca,2015,1,0.23430587153750018,0.17573430875,0.30186768350000004
Caldas | 2015,Caldas,2015,1,0.1701932315882502,0.12202192025000001,0.22695043275000001
Caqueta | 2015,Caqueta,2015,1,0.26694872057499996,0.2109988025,0.32800318400000006
Cauca | 2015,Cauca,2015,1,0.2569665808050003,0.2058986935,0.3138583445
Cesar | 2015,Cesar,2015,1,0.3218143130125009,0.2683791765,0.38021722724999996
Cordoba | 2015,Cordoba,2015,1,0.31939942256250065,0.26205420250000006,0.3816066265
Cundinamarca | 2015,Cundinamarca,2015,1,0.2603049346400008,0.196737972,0.33154398949999997
Choco | 2015,Choco,2015,1,0.3980287964199989,0.34078948475000004,0.45575309700000005
Huila | 2015,Huila,2015,1,0.24604229004000008,0.19110718550000003,0.3077659035
La Guajira | 2015,La Guajira,2015,1,0.3569179594849988,0.29260610975,0.4256901905
Magdalena | 2015,Magdalena,2015,1,0.33120039484250063,0.26649716549999997,0.40356970150000004
Meta | 2015,Meta,2015,1,0.2514548143124995,0.19637340474999998,0.312067921
Narimo | 2015,Narimo,2015,1,0.24863659113750028,0.19060789675,0.3132887605
Norte de Santander | 2015,Norte de Santander,2015,1,0.25938601203999956,0.20120022575,0.32401177825
Quindio | 2015,Quindio,2015,1,0.20736332306500005,0.1621707825,0.25867857425
Risaralda | 2015,Risaralda,2015,1,0.19409668678000006,0.14795557875,0.24541072400000002
Santander | 2015,Santander,2015,1,0.2545072554674999,0.19600257399999998,0.31998955475
Sucre | 2015,Sucre,2015,1,0.3451684216675006,0.28362087725,0.41112417275
Tolima | 2015,Tolima,2015,1,0.25986776117250043,0.20107820075,0.32362208775000006
Valle | 2015,Valle,2015,1,0.2299815610525,0.191766523,0.27352021849999997
Arauca | 2015,Arauca,2015,1,0.27934651381499986,0.207452776,0.35966627500000004
Casanare | 2015,Casanare,2015,1,0.26890283720250063,0.2131911165,0.32938631075
Putumayo | 2015,Putumayo,2015,1,0.24233237266499918,0.187499017,0.30419316599999996
San Andres y Providencia | 2015,San Andres y Providencia,2015,1,0.31609279405249985,0.24618392125,0.39541098025
Amazonas | 2015,Amazonas,2015,1,0.43819197095750057,0.356873641,0.52659211575
Guainia | 2015,Guainia,2015,1,0.3395784907,0.26529767,0.42139169975
Guaviare | 2015,Guaviare,2015,1,0.2240199562649998,0.16730414524999998,0.28641673375
Vaupes | 2015,Vaupes,2015,1,0.4747781355224993,0.37256727925,0.5774819172500001
Vichada | 2015,Vichada,2015,1,0.24033932275750058,0.18319018,0.30492878325
