cell,y,theta_mean,v,z
Antioquia | 2005,-0.5810192011330818,-0.7225326625274994,0.03785476595094681,0.7273399982645531
Atlantico | 2005,0.1437277266828918,0.0869967544517828,0.09622660160404516,0.18288271154590957
Bogota | 2005,-0.9990751291368556,-0.7542276191749996,0.05028974299304894,-1.0918324146653828
Bolivar | 2005,-0.4256307774876236,-0.2086713112476102,0.08492186715587241,-0.7445070876928257
Boyaca | 2005,-0.5345127736911628,-0.6575784567079999,0.0987694938370696,0.3915845535722746
Caldas | 2005,-2.1431234847397764,-1.0614715538625012,0.21815852552607376,-2.3158020553838177
Caqueta | 2005,-0.22700297482573872,-0.48070797086954997,0.05296353804196078,1.1024033520762573
Cauca | 2005,-0.4454829160188103,-0.5317839126939988,0.04431228171853306,0.4099715829062037
Cesar | 2005,-0.2433009159934463,-0.21362726449264363,0.04105266950856913,-0.14645368050966123
Cordoba | 2005,0.10178247097085144,-0.2252286269734477,0.04418006732097964,1.5557840155091813
Cundinamarca | 2005,-0.867314844308453,-0.5172625573288028,0.12618869705811767,-0.9854229924989825
Choco | 2005,0.5772829249809619,0.11974069498742447,0.05264680705324173,1.9940918845055602
Huila | 2005,-0.41435040814930224,-0.5912790356142493,0.0655246545507151,0.6911872820413757
La Guajira | 2005,-0.21875495710571471,-0.056946313671970124,0.08652809319382805,-0.5500765740939395
Magdalena | 2005,-0.5207521439961105,-0.17196246851613292,0.07320985932999283,-1.2890769258645103
Meta | 2005,-0.4252382225142465,-0.5620191731190014,0.07477660972100891,0.5001988998952163
Narimo | 2005,-0.9888678009422858,-0.578169184488499,0.08595330257916056,-1.400851036231244
Norte de Santander | 2005,-0.55166207997919,-0.5208177504839496,0.11004788104846373,-0.09297891875182718
Quindio | 2005,-0.4246416200842202,-0.812623905612499,0.08668095818507374,1.3178016450020689
Risaralda | 2005,-0.9908552991483216,-0.8967739096149959,0.07211274108354498,-0.3503464499379326
Santander | 2005,-0.4338356447007891,-0.5466934312864994,0.12606016025955513,0.31786491982616943
Sucre | 2005,0.1565759083695076,-0.1087238122375983,0.08745423989116903,0.8971113636392137
Tolima | 2005,-0.43688053077288613,-0.5179606780110502,0.07067983062306574,0.30497678272782164
Valle | 2005,-1.031366890533429,-0.67709458264,0.04097778634893767,-1.7501003821469556
Arauca | 2005,-0.3630710490029663,-0.42125500517651704,0.16221322639424718,0.14446415984832328
Casanare | 2005,-0.734639639231763,-0.47052044559824996,0.15630776217409667,-0.668051110058698
Putumayo | 2005,-0.6122196844666247,-0.611867658051501,0.08385361491832392,-0.001215666245516538
San Andres y Providencia | 2005,0.5420302198358298,-0.24263568212214726,0.13284092047915502,2.1528751379209075
Amazonas | 2005,-0.04256436795896765,0.2845785666773482,0.1173783462545123,-0.9548684676228932
Guainia | 2005,-0.7538192361039249,-0.1353141733705906,0.1255891441843191,-1.7452884249283176
Guaviare | 2005,-0.6224468615847825,-0.7159367482270015,0.12076724410051232,0.269023398844248
Vaupes | 2005,0.7179592005715453,0.4329510772093173,0.2003450833821634,0.6367484464597268
Vichada | 2005,-0.931248686430732,-0.6235903462130008,0.08710731449853773,-1.0424167480457416
Antioquia | 2010,-0.9551298827822486,-0.9064903797474988,0.027895098020060793,-0.29122267254064493
Atlantico | 2010,-0.07690944147669812,-0.09696096291354969,0.05426196735940233,0.08607946577185795
Bogota | 2010,-0.895671444671424,-0.9381853366599991,0.027609668613069932,0.25585874647291806
Bolivar | 2010,-0.2274258501816134,-0.39262902864035387,0.057733386552767114,0.6875509430797616
Boyaca | 2010,-1.0342895735753703,-0.8415361742750005,0.07758990503770026,-0.6919893899620723
Caldas | 2010,-1.5820126389247386,-1.2454292714599942,0.0769617761152514,-1.2132634381901055
Caqueta | 2010,-0.38579214506337733,-0.6646656881175006,0.07495896159877906,1.0185809124933602
Cauca | 2010,-0.7455624544718,-0.7157416299974988,0.05167545325504505,-0.13118298208984394
Cesar | 2010,-0.10978046903072448,-0.39758498188252517,0.05328709048683683,1.2467707228601101
Cordoba | 2010,-0.5914760833073418,-0.4091863443194899,0.07466053129877544,-0.6671395459366327
Cundinamarca | 2010,-0.5301241215652183,-0.7012202746160012,0.0658065618341593,0.6669689931905946
Choco | 2010,-0.30634872518971734,-0.06421702241597359,0.0417698303369211,-1.1847324951758649
Huila | 2010,-1.4995423015499454,-0.7752367530625013,0.09314410109326732,-2.373253522723367
La Guajira | 2010,-0.3089109646472835,-0.24090403100066488,0.06521066820013337,-0.2663139206413558
Magdalena | 2010,0.18539731916586968,-0.3559201858311256,0.07486565235051613,1.978384791604439
Meta | 2010,-0.7999874515772148,-0.7459768902875001,0.05703563093614104,-0.2261546727837512
Narimo | 2010,-0.61112636704944,-0.7621269016749993,0.08184184137769226,0.5278260118063188
Norte de Santander | 2010,-1.1253983624730663,-0.7047754677549984,0.06523041086965838,-1.6469023560297091
Quindio | 2010,-1.2758476368206173,-0.9965816226449985,0.04449217399355066,-1.3239642951082535
Risaralda | 2010,-1.0823921803564711,-1.0807316276424985,0.06082469648099426,-0.006733063208299191
Santander | 2010,-0.6749218291961989,-0.7306511486299976,0.056185057317896886,0.23511120392077833
Sucre | 2010,-0.06171648933457008,-0.29268152956389404,0.047557213749344275,1.0591026314559504
Tolima | 2010,-0.8052177396029491,-0.7019183954225016,0.06262984125491189,-0.41276884377402706
Valle | 2010,-0.7294073076923536,-0.8610523001950013,0.021939724628449495,0.8887687131194677
Arauca | 2010,-0.5597576684503984,-0.6052127224732504,0.11183464122534603,0.1359233293805806
Casanare | 2010,-0.6913020165069932,-0.6544781628524997,0.03957598744886505,-0.18510295678099298
Putumayo | 2010,-0.7691139287371611,-0.795825375457499,0.047133759366910645,0.12303576399732355
San Andres y Providencia | 2010,-0.9921767068012302,-0.4265933994176551,0.11693503207850624,-1.653957187336299
Amazonas | 2010,0.43824133186108527,0.10062084921445456,0.05502984014471058,1.439228202820405
Guainia | 2010,-0.03057457669582845,-0.31927189076368817,0.07785080384090058,1.034692241949132
Guaviare | 2010,-0.9396115593411046,-0.8998944659075013,0.0773532545371773,-0.14280327356917766
Vaupes | 2010,0.3048108095502891,0.24899335986652166,0.09615744563297032,0.18000249735361368
Vichada | 2010,-1.0078944766561897,-0.8075480638250007,0.16434757114740664,-0.49419679641589725
Antioquia | 2015,-1.4440571051447086,-1.257497983287505,0.04341378155467575,-0.8953702918266919
Atlantico | 2015,-0.2769338627539921,-0.44796856667175017,0.06612296601084258,0.6651323592505984
Bogota | 2015,-1.2186902651319742,-1.28919294074,0.0702636298127046,0.2659746880203311
Bolivar | 2015,-0.6385416016195171,-0.7436366323374992,0.07485628524995319,0.3841209955301657
Boyaca | 2015,-1.2610006193646892,-1.1925437773825018,0.1574804291388811,-0.17250574609078487
Caldas | 2015,-0.8995592817757395,-1.5964368748224977,0.1463768138020055,1.8214630093361532
Caqueta | 2015,-1.9907034043772087,-1.0156732923100016,0.10883075333876491,-2.9555765395646687
Cauca | 2015,-1.3857555118143086,-1.0667492335675,0.14283578379058914,-0.8440743815112082
Cesar | 2015,-0.9534526438024472,-0.7485925856425003,0.06301640550616618,-0.8160757599451005
Cordoba | 2015,-1.07874222537654,-0.7601939481100003,0.08688797519837586,-1.0806757903384563
Cundinamarca | 2015,-1.1801579581636754,-1.0522278785724994,0.2374124240397973,-0.26255539640005293
Choco | 2015,-0.3779112978321123,-0.415224626144749,0.03990179276190091,0.18679609158809854
Huila | 2015,-0.7485162656804667,-1.126244356455,0.09780364917847714,1.2078187129657885
La Guajira | 2015,-0.2487381424437712,-0.5919116347159998,0.06426912650318939,1.3536691628499589
Magdalena | 2015,-0.7702616472441188,-0.706927789833249,0.0887669987889938,-0.21257401317664484
Meta | 2015,-1.3733381075701958,-1.0969844941449984,0.14871999032761382,-0.7166060546973404
Narimo | 2015,-0.8441268788754245,-1.1131345048799988,0.1452182137756662,0.7059176596321965
Norte de Santander | 2015,-0.3605516106744714,-1.055783071660001,0.11716959851169496,2.031056224657961
Quindio | 2015,-1.472488395725802,-1.3475892272875025,0.1137674058608303,-0.3702973629254116
Risaralda | 2015,-1.841095196907957,-1.4317392304024983,0.18229922216974473,-0.9587573734177169
Santander | 2015,-1.5564829602836483,-1.0816587523575,0.17251887037746616,-1.1431798202326535
Sucre | 2015,-1.2455068473415218,-0.643689133447501,0.10574399838534512,-1.8507045925046928
Tolima | 2015,-1.0772821940734731,-1.0529259989475026,0.1506217211126153,-0.06275750101074325
Valle | 2015,-1.173436409246227,-1.212059904119996,0.05764636486089993,0.16086649728270364
Arauca | 2015,-1.1067494419294075,-0.9562203268200035,0.17248296582297637,-0.3624494149075201
Casanare | 2015,-0.7239890829960431,-1.005485766477499,0.12713128426632445,0.7894907852154273
Putumayo | 2015,-1.691771202566592,-1.1468329796175023,0.2987056490166124,-0.997069779336519
San Andres y Providencia | 2015,-0.7488353539329904,-0.7776010029525002,0.11964498286544689,0.08316238410845446
Amazonas | 2015,0.14368039303190155,-0.2503867544000325,0.2488927350265838,0.7898854610286004
Guainia | 2015,-0.13627205561971611,-0.6702794945527492,0.16678145745552714,1.3075955219806512
Guaviare | 2015,-1.5200124010639058,-1.2509020697325044,0.1064589140085388,-0.8247823433401622
Vaupes | 2015,0.7963422042003554,-0.10201424391499048,0.220570125832706,1.9128254610198896
Vichada | 2015,-0.8367783226603778,-1.1585556674799984,0.10244059811804007,1.0053549277891414
