variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-101.04102943225,-100.73602500000001,7.097760269667828,7.001641510499994,-113.309072,-89.92865145000002,1.0106785312033024,1003.0303600256844,1853.491761392783
alpha,-0.42014111238,-0.420473925,0.08362773785621481,0.085177023099,-0.5564490524999999,-0.2854781435000001,1.002269256376411,856.6022423550268,1374.1365841491572
beta_raw[1],-0.183957717422475,-0.183217865,0.06448418184018596,0.06597389864099999,-0.290559746,-0.08028215030000002,1.0008359224806709,3377.7148574023036,3095.5746077159192
beta_raw[2],-0.53496532111,-0.5351955850000001,0.07414999146413731,0.07510119936899999,-0.6560081440000001,-0.414620759,1.0004179504443589,3851.3988173230528,3163.9388389476685
s[1],-0.012073082245049507,-0.018326324499999998,0.4143086102867926,0.4191341475446999,-0.6922588955,0.6838133000000001,1.0013862204518305,2200.4839793321844,2867.4084853563204
s[2],0.011003864612547504,0.018011587500000002,0.9019017625193443,0.8997380601194999,-1.46822257,1.4988515499999995,1.0025025073196903,1126.5018986934226,1771.0966455922676
s[3],-2.5564177270039618e-5,0.0087249835,0.6481273507212029,0.643301911707,-1.0789571749999998,1.0561420449999994,1.0012823339179617,2492.116258583075,2938.170631788134
s[4],-0.004932528795433987,-0.00819009495,0.5794268283627243,0.57614677368087,-0.9461765900000001,0.9480766559999985,1.0024114653840723,778.9996305061579,1476.4881990624408
s[5],-0.006294098256649993,-0.011612915,0.4726500928965841,0.4693748884649999,-0.7894852805,0.7766681079999996,1.0008258245288102,3263.926096702225,3109.1499727080914
s[6],-0.010837009320267526,-0.01475804,0.5622125000596833,0.562005001068,-0.9085394075,0.9061068279999995,0.9998588683846578,3027.954164058402,3100.056534788198
s[7],0.013112334512624257,0.008274147749999999,0.5152095986097179,0.5223650402911499,-0.82217447,0.8681398849999998,1.0014279799732497,1179.780597540298,2014.0569568099772
s[8],0.0035450697132899975,7.5560747e-4,0.5226799254789294,0.528034242821022,-0.8535458015,0.8767982919999998,1.0013966693106455,1208.9118876152172,2536.652126477413
s[9],-4.4940816274749825e-4,0.0046781776,0.6760899177137176,0.680454088587,-1.0998038350000001,1.0925501249999998,1.0020823647125046,894.5627026245759,1398.8320585471674
