survey,region,agegroup,cell_id,logit_prevalence,se_logit
2011-12,ATLANTIDA,Adolescent,ATLANTIDA | Adolescent | 2011-12,-1.2131844382473493,0.2492108738328764
2011-12,CHOLUTECA,Adolescent,CHOLUTECA | Adolescent | 2011-12,-1.2595520093698103,0.2458315170196218
2011-12,COLON,Adolescent,COLON | Adolescent | 2011-12,-0.8349994781279658,0.20427588836088947
2011-12,COMAYAGUA,Adolescent,COMAYAGUA | Adolescent | 2011-12,-0.5730595161979489,0.2498002699759107
2011-12,COPAN,Adolescent,COPAN | Adolescent | 2011-12,-1.0624302436231055,0.2480538387916481
2011-12,CORTES,Adolescent,CORTES | Adolescent | 2011-12,-0.7349433513061512,0.20978160522618913
2011-12,EL PARAISO,Adolescent,EL PARAISO | Adolescent | 2011-12,-1.3052924648506272,0.2750019526705677
2011-12,FRANCISCO MORAZAN,Adolescent,FRANCISCO MORAZAN | Adolescent | 2011-12,-0.885760868288907,0.26287022094673207
2011-12,GRACIAS A DIOS,Adolescent,GRACIAS A DIOS | Adolescent | 2011-12,-0.4179596062856177,0.33277106687362945
2011-12,INTIBUCA,Adolescent,INTIBUCA | Adolescent | 2011-12,-0.7616175688040002,0.27147971860455017
2011-12,ISLAS DE LA BAHIA,Adolescent,ISLAS DE LA BAHIA | Adolescent | 2011-12,-0.888106752396722,0.30495461915703986
2011-12,LA PAZ,Adolescent,LA PAZ | Adolescent | 2011-12,-0.6952366429738279,0.23092377402773845
2011-12,LEMPIRA,Adolescent,LEMPIRA | Adolescent | 2011-12,-0.5030475062727343,0.26678107314431376
2011-12,OCOTEPEQUE,Adolescent,OCOTEPEQUE | Adolescent | 2011-12,-0.9731329401778722,0.27734287829654114
2011-12,OLANCHO,Adolescent,OLANCHO | Adolescent | 2011-12,-0.8245746429140409,0.20884517456022303
2011-12,SANTA BARBARA,Adolescent,SANTA BARBARA | Adolescent | 2011-12,-0.565359707759922,0.27287491520457624
2011-12,VALLE,Adolescent,VALLE | Adolescent | 2011-12,-1.1578767490218604,0.3180342654325249
2011-12,YORO,Adolescent,YORO | Adolescent | 2011-12,-1.0966099148301134,0.2956325654995361
2011-12,ATLANTIDA,Young_Adult,ATLANTIDA | Young_Adult | 2011-12,-1.5093944565362507,0.12885247219304452
2011-12,CHOLUTECA,Young_Adult,CHOLUTECA | Young_Adult | 2011-12,-1.4631706816186654,0.13573337677417505
2011-12,COLON,Young_Adult,COLON | Young_Adult | 2011-12,-1.1075419279275005,0.13041427046651577
2011-12,COMAYAGUA,Young_Adult,COMAYAGUA | Young_Adult | 2011-12,-1.2020017619706937,0.13686114140574068
2011-12,COPAN,Young_Adult,COPAN | Young_Adult | 2011-12,-1.1704176667593431,0.13265169542085306
2011-12,CORTES,Young_Adult,CORTES | Young_Adult | 2011-12,-1.2872119069866375,0.09353643170307249
2011-12,EL PARAISO,Young_Adult,EL PARAISO | Young_Adult | 2011-12,-1.7041773622821748,0.12797197225081663
2011-12,FRANCISCO MORAZAN,Young_Adult,FRANCISCO MORAZAN | Young_Adult | 2011-12,-1.452822581738766,0.1047576149722813
2011-12,GRACIAS A DIOS,Young_Adult,GRACIAS A DIOS | Young_Adult | 2011-12,-0.6984856643454057,0.158619635320134
2011-12,INTIBUCA,Young_Adult,INTIBUCA | Young_Adult | 2011-12,-1.1046087013649208,0.1844645898007267
2011-12,ISLAS DE LA BAHIA,Young_Adult,ISLAS DE LA BAHIA | Young_Adult | 2011-12,-1.6133517357512404,0.23479231071203857
2011-12,LA PAZ,Young_Adult,LA PAZ | Young_Adult | 2011-12,-1.060019344604354,0.13203217831927527
2011-12,LEMPIRA,Young_Adult,LEMPIRA | Young_Adult | 2011-12,-0.688162248974957,0.15298685753073168
2011-12,OCOTEPEQUE,Young_Adult,OCOTEPEQUE | Young_Adult | 2011-12,-1.3634057296818576,0.15129707632302306
2011-12,OLANCHO,Young_Adult,OLANCHO | Young_Adult | 2011-12,-1.2925812211771062,0.11762483947796297
2011-12,SANTA BARBARA,Young_Adult,SANTA BARBARA | Young_Adult | 2011-12,-1.0313703769952756,0.10993251539146136
2011-12,VALLE,Young_Adult,VALLE | Young_Adult | 2011-12,-1.2166994967582587,0.1260673737776125
2011-12,YORO,Young_Adult,YORO | Young_Adult | 2011-12,-1.2511657846194046,0.14745519907790572
2019,ATLANTIDA,Adolescent,ATLANTIDA | Adolescent | 2019,-1.0328076155267158,0.3756080977530586
2019,CHOLUTECA,Adolescent,CHOLUTECA | Adolescent | 2019,-1.3297861716993844,0.30889744366446925
2019,COLON,Adolescent,COLON | Adolescent | 2019,-1.479522685258969,0.29286476508643455
2019,COMAYAGUA,Adolescent,COMAYAGUA | Adolescent | 2019,-1.605578681865279,0.381208863325204
2019,COPAN,Adolescent,COPAN | Adolescent | 2019,-1.5351326697222432,0.4173338113621672
2019,CORTES,Adolescent,CORTES | Adolescent | 2019,-0.6816443660003239,0.26533611289033743
2019,EL PARAISO,Adolescent,EL PARAISO | Adolescent | 2019,-1.219570328192553,0.27366726301739397
2019,FRANCISCO MORAZAN,Adolescent,FRANCISCO MORAZAN | Adolescent | 2019,-0.6238523581901362,0.3061096166561149
2019,GRACIAS A DIOS,Adolescent,GRACIAS A DIOS | Adolescent | 2019,-0.4509777566166128,0.30152855561564174
2019,INTIBUCA,Adolescent,INTIBUCA | Adolescent | 2019,-0.5542475342022897,0.31909025136019287
2019,ISLAS DE LA BAHIA,Adolescent,ISLAS DE LA BAHIA | Adolescent | 2019,-0.8592366605258045,0.41321017061989385
2019,LA PAZ,Adolescent,LA PAZ | Adolescent | 2019,-0.6536616081152856,0.2702241449178543
2019,LEMPIRA,Adolescent,LEMPIRA | Adolescent | 2019,-0.9669111416123377,0.49874894173090867
2019,OCOTEPEQUE,Adolescent,OCOTEPEQUE | Adolescent | 2019,-0.7522107589641889,0.42572981598395626
