"","ATLANTIDA | Adolescent | 2011-12","CHOLUTECA | Adolescent | 2011-12","COLON | Adolescent | 2011-12","COMAYAGUA | Adolescent | 2011-12","COPAN | Adolescent | 2011-12","CORTES | Adolescent | 2011-12","EL PARAISO | Adolescent | 2011-12","FRANCISCO MORAZAN | Adolescent | 2011-12","GRACIAS A DIOS | Adolescent | 2011-12","INTIBUCA | Adolescent | 2011-12","ISLAS DE LA BAHIA | Adolescent | 2011-12","LA PAZ | Adolescent | 2011-12","LEMPIRA | Adolescent | 2011-12","OCOTEPEQUE | Adolescent | 2011-12","OLANCHO | Adolescent | 2011-12","SANTA BARBARA | Adolescent | 2011-12","VALLE | Adolescent | 2011-12","YORO | Adolescent | 2011-12","ATLANTIDA | Young_Adult | 2011-12","CHOLUTECA | Young_Adult | 2011-12","COLON | Young_Adult | 2011-12","COMAYAGUA | Young_Adult | 2011-12","COPAN | Young_Adult | 2011-12","CORTES | Young_Adult | 2011-12","EL PARAISO | Young_Adult | 2011-12","FRANCISCO MORAZAN | Young_Adult | 2011-12","GRACIAS A DIOS | Young_Adult | 2011-12","INTIBUCA | Young_Adult | 2011-12","ISLAS DE LA BAHIA | Young_Adult | 2011-12","LA PAZ | Young_Adult | 2011-12","LEMPIRA | Young_Adult | 2011-12","OCOTEPEQUE | Young_Adult | 2011-12","OLANCHO | Young_Adult | 2011-12","SANTA BARBARA | Young_Adult | 2011-12","VALLE | Young_Adult | 2011-12","YORO | Young_Adult | 2011-12","ATLANTIDA | Adolescent | 2019","CHOLUTECA | Adolescent | 2019","COLON | Adolescent | 2019","COMAYAGUA | Adolescent | 2019","COPAN | Adolescent | 2019","CORTES | Adolescent | 2019","EL PARAISO | Adolescent | 2019","FRANCISCO MORAZAN | Adolescent | 2019","GRACIAS A DIOS | Adolescent | 2019","INTIBUCA | Adolescent | 2019","ISLAS DE LA BAHIA | Adolescent | 2019","LA PAZ | Adolescent | 2019","LEMPIRA | Adolescent | 2019","OCOTEPEQUE | Adolescent | 2019","OLANCHO | Adolescent | 2019","SANTA BARBARA | Adolescent | 2019","VALLE | Adolescent | 2019","YORO | Adolescent | 2019","ATLANTIDA | Young_Adult | 2019","CHOLUTECA | Young_Adult | 2019","COLON | Young_Adult | 2019","COMAYAGUA | Young_Adult | 2019","COPAN | Young_Adult | 2019","CORTES | Young_Adult | 2019","EL PARAISO | Young_Adult | 2019","FRANCISCO MORAZAN | Young_Adult | 2019","GRACIAS A DIOS | Young_Adult | 2019","INTIBUCA | Young_Adult | 2019","ISLAS DE LA BAHIA | Young_Adult | 2019","LA PAZ | Young_Adult | 2019","LEMPIRA | Young_Adult | 2019","OCOTEPEQUE | Young_Adult | 2019","OLANCHO | Young_Adult | 2019","SANTA BARBARA | Young_Adult | 2019","VALLE | Young_Adult | 2019","YORO | Young_Adult | 2019"
"ATLANTIDA | Adolescent | 2011-12",0.0621060596365458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00227170805237646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHOLUTECA | Adolescent | 2011-12",0,0.0604331347601686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00530424681471318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COLON | Adolescent | 2011-12",0,0,0.0417286385656306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00131299895041948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMAYAGUA | Adolescent | 2011-12",0,0,0,0.0624001748800379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00137085253836024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COPAN | Adolescent | 2011-12",0,0,0,0,0.061530706939273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00495282159257875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORTES | Adolescent | 2011-12",0,0,0,0,0,0.0440083218912767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000477868546661243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EL PARAISO | Adolescent | 2011-12",0,0,0,0,0,0,0.0756260739726251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00278560564321406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRANCISCO MORAZAN | Adolescent | 2011-12",0,0,0,0,0,0,0,0.0691007530605837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00387512397623048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRACIAS A DIOS | Adolescent | 2011-12",0,0,0,0,0,0,0,0,0.110736582948214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00709219029893474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INTIBUCA | Adolescent | 2011-12",0,0,0,0,0,0,0,0,0,0.0737012376136057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00287078842611993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISLAS DE LA BAHIA | Adolescent | 2011-12",0,0,0,0,0,0,0,0,0,0,0.0929973197452152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228948957863433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
